CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F37490,      5149,E,2.0,2022-02-28 09:56:46.893,2022-02-28,2022-02-22 00:00:00,2022-02-28,,2249.28,0.0,0.0
F37491,      6140,E,2.0,2022-02-28 10:39:35.117,2022-02-28,2022-02-16 00:00:00,2022-02-28,,1125.0,0.0,0.0
F37492,      8348,E,2.0,2022-02-28 10:47:55.250,2022-02-28,2022-02-18 00:00:00,2022-02-28,,2970.0000000000005,0.0,0.0
F37493,      4598,E,1.0,2022-02-28 10:56:02.460,2022-02-28,2022-02-28 00:00:00,2022-03-30,,44259.0,0.0,0.0
F37494,      1943,C,2.0,2022-02-28 11:34:00.367,2022-02-28,2022-02-28 00:00:00,2022-02-28,2022-02-28,89.68,0.0,0.0
F37495,      7098,E,2.0,2022-02-28 11:37:59.743,2022-02-28,2022-02-08 00:00:00,2022-02-28,,2500.8,0.0,0.0
F37496,      7098,C,2.0,2022-02-28 11:39:58.423,2022-02-28,2022-02-15 00:00:00,2022-02-28,2022-02-28,2500.8,0.0,0.0
F37497,      1943,C,2.0,2022-02-28 12:05:42.377,2022-02-28,2022-02-28 00:00:00,2022-02-28,2022-02-28,89.68,0.0,0.0
F37498,      8559,E,2.0,2022-02-28 12:20:28.167,2022-02-28,2022-02-25 00:00:00,2022-02-28,,1130.8000000000002,0.0,0.0
F37499,      8573,E,2.0,2022-02-28 12:25:29.833,2022-02-28,2022-02-28 00:00:00,2022-02-28,,997.5400000000001,0.0,0.0
F37500,      8249,E,2.0,2022-02-28 12:32:46.687,2022-02-28,2022-02-28 00:00:00,2022-02-28,,2508.7000000000003,0.0,0.0
F37501,      8589,E,2.0,2022-02-28 12:53:36.630,2022-02-28,2022-02-22 00:00:00,2022-02-28,,1293.1034,0.0,0.0
F37502,      8090,E,2.0,2022-02-28 13:00:04.477,2022-02-28,2022-03-02 00:00:00,2022-02-28,,2056.7000000000003,0.0,0.0
F37503,      5926,E,2.0,2022-02-28 13:04:47.740,2022-02-28,2022-02-15 00:00:00,2022-02-28,,431.03440000000006,0.0,0.0
F37504,       200,E,3.0,2022-02-28 13:11:06.277,2022-02-28,2022-02-08 00:00:00,2022-02-28,,1002.7500000000001,0.0,0.0
F37505,       692,E,2.0,2022-02-28 13:19:12.120,2022-02-28,2022-02-04 00:00:00,2022-02-28,,2300.0,0.0,0.0
F37506,      1757,E,2.0,2022-02-28 13:23:45.440,2022-02-28,2022-02-28 00:00:00,2022-02-28,,2586.21,0.0,0.0
F37507,      3108,E,2.0,2022-02-28 13:52:43.383,2022-02-28,2022-02-28 00:00:00,2022-02-28,,675.4,0.0,0.0
F37508,      6232,E,2.0,2022-02-28 14:46:56.940,2022-02-28,2022-02-28 00:00:00,2022-02-28,,941.3965,0.0,0.0
F37509,      5915,E,2.0,2022-02-28 14:52:56.270,2022-02-28,2022-03-04 00:00:00,2022-03-15,,3662.5,0.0,0.0
F37510,      6354,E,2.0,2022-02-28 15:10:31.887,2022-02-28,2022-03-04 00:00:00,2022-02-28,,3500.0000000000005,0.0,0.0
F37511,      8593,E,2.0,2022-02-28 15:20:58.040,2022-02-28,2022-02-28 00:00:00,2022-02-28,,218.97,0.0,0.0
F37512,      4766,E,2.0,2022-02-28 15:54:16.277,2022-02-28,2022-02-28 00:00:00,2022-02-28,,9450.0,0.0,0.0
F37513,      8584,E,2.0,2022-02-28 16:07:16.747,2022-02-28,2022-02-24 00:00:00,2022-02-28,,1156.5,0.0,0.0
F37514,      8585,E,2.0,2022-02-28 16:12:40.963,2022-02-28,2022-02-25 00:00:00,2022-02-28,,2976.7500000000005,0.0,0.0
F37515,      8591,E,2.0,2022-02-28 16:25:03.820,2022-02-28,2022-03-01 00:00:00,2022-02-28,,1076.1,0.0,0.0
F37516,      6179,E,3.0,2022-02-28 16:33:54.413,2022-02-28,2022-02-28 00:00:00,2022-02-28,,5951.700000000001,0.0,0.0
F37517,      8019,E,3.0,2022-02-28 16:50:01.033,2022-02-28,2022-02-18 00:00:00,2022-02-28,,4140.550000000001,0.0,0.0
F37518,      8592,E,1.0,2022-02-28 16:56:15.027,2022-02-28,2022-03-01 00:00:00,2022-02-28,,3689.6400000000003,0.0,0.0
F37519,      5150,E,3.0,2022-02-28 17:09:39.213,2022-02-28,2022-02-28 00:00:00,2022-02-28,,2040.0000000000002,0.0,0.0
F37520,      4527,E,2.0,2022-02-28 17:14:57.487,2022-02-28,2022-02-28 00:00:00,2022-02-28,,4315.0,0.0,0.0
F37521,      7098,E,2.0,2022-02-28 17:20:00.907,2022-02-28,2022-03-04 00:00:00,2022-02-28,,2500.8,0.0,0.0
F37522,      7098,E,2.0,2022-02-28 17:23:07.963,2022-02-28,2022-02-15 00:00:00,2022-02-28,,1875.862,0.0,0.0
F37523,      5926,E,2.0,2022-02-28 17:36:54.363,2022-02-28,2022-02-28 00:00:00,2022-02-28,,451.61,0.0,0.0
F37524,      5926,E,1.0,2022-02-28 17:41:34.787,2022-02-28,2022-02-26 00:00:00,2022-02-28,,757.6546000000001,0.0,0.0
