CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
F37490,2022-02-22 00:00:00,2022-02-28,2249.28
F37491,2022-02-16 00:00:00,2022-02-28,1125.0
F37492,2022-02-18 00:00:00,2022-02-28,2970.0000000000005
F37493,2022-02-28 00:00:00,2022-03-30,44259.0
F37494,2022-02-28 00:00:00,2022-02-28,89.68
F37495,2022-02-08 00:00:00,2022-02-28,2500.8
F37496,2022-02-15 00:00:00,2022-02-28,2500.8
F37497,2022-02-28 00:00:00,2022-02-28,89.68
F37498,2022-02-25 00:00:00,2022-02-28,1130.8000000000002
F37499,2022-02-28 00:00:00,2022-02-28,997.5400000000001
F37500,2022-02-28 00:00:00,2022-02-28,2508.7000000000003
F37501,2022-02-22 00:00:00,2022-02-28,1293.1034
F37502,2022-03-02 00:00:00,2022-02-28,2056.7000000000003
F37503,2022-02-15 00:00:00,2022-02-28,431.03440000000006
F37504,2022-02-08 00:00:00,2022-02-28,1002.7500000000001
F37505,2022-02-04 00:00:00,2022-02-28,2300.0
F37506,2022-02-28 00:00:00,2022-02-28,2586.21
F37507,2022-02-28 00:00:00,2022-02-28,675.4
F37508,2022-02-28 00:00:00,2022-02-28,941.3965
F37509,2022-03-04 00:00:00,2022-03-15,3662.5
F37510,2022-03-04 00:00:00,2022-02-28,3500.0000000000005
F37511,2022-02-28 00:00:00,2022-02-28,218.97
F37512,2022-02-28 00:00:00,2022-02-28,9450.0
F37513,2022-02-24 00:00:00,2022-02-28,1156.5
F37514,2022-02-25 00:00:00,2022-02-28,2976.7500000000005
F37515,2022-03-01 00:00:00,2022-02-28,1076.1
F37516,2022-02-28 00:00:00,2022-02-28,5951.700000000001
F37517,2022-02-18 00:00:00,2022-02-28,4140.550000000001
F37518,2022-03-01 00:00:00,2022-02-28,3689.6400000000003
F37519,2022-02-28 00:00:00,2022-02-28,2040.0000000000002
F37520,2022-02-28 00:00:00,2022-02-28,4315.0
F37521,2022-03-04 00:00:00,2022-02-28,2500.8
F37522,2022-02-15 00:00:00,2022-02-28,1875.862
F37523,2022-02-28 00:00:00,2022-02-28,451.61
F37524,2022-02-26 00:00:00,2022-02-28,757.6546000000001
