CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F29432,1965,C,2.0,05:04.0,05/09/2019,05/09/2019 00:00,20/09/2019,06/09/2019,976.5,0.0,0.0
F29436,1965,C,2.0,01:36.0,06/09/2019,06/09/2019 00:00,21/09/2019,12/09/2019,976.5,0.0,0.0
F29479,1240,E,2.0,38:45.0,11/09/2019,11/09/2019 00:00,11/09/2019,,4135.0,0.0,0.0
F29485,1965,C,2.0,14:28.0,12/09/2019,12/09/2019 00:00,27/09/2019,12/09/2019,976.5,146.48,0.0
F29486,1965,E,2.0,25:52.0,12/09/2019,12/09/2019 00:00,27/09/2019,,976.5,146.48,0.0
F29492,1020,E,2.0,50:21.0,12/09/2019,12/09/2019 00:00,12/10/2019,,262.94,0.0,0.0
F29493,1020,E,2.0,58:25.0,12/09/2019,12/09/2019 00:00,12/10/2019,,448.28,0.0,0.0
F29528,1125,C,,03:18.0,18/09/2019,18/09/2019 00:00,03/10/2019,18/09/2019,2697.0,0.0,0.0
F29530,1125,E,2.0,12:54.0,18/09/2019,18/09/2019 00:00,03/10/2019,,2697.0,0.0,0.0
F29549,1965,E,2.0,14:09.0,19/09/2019,19/09/2019 00:00,04/10/2019,,1155.0,173.25,0.0
F29574,1158,E,2.0,06:14.0,20/09/2019,20/09/2019 00:00,20/09/2019,,420.0,0.0,0.0
F29582,1478,E,1.0,12:12.0,20/09/2019,10/09/2019 00:00,20/10/2019,,4679.0,0.0,0.0
F29596,1852,E,2.0,54:09.0,20/09/2019,17/09/2019 00:00,05/10/2019,,7125.9,0.0,0.0
F29599,1703,E,1.0,25:51.0,23/09/2019,06/09/2019 00:00,23/10/2019,,50994.0,0.0,0.0
F29600,1965,E,2.0,52:38.0,23/09/2019,23/09/2019 00:00,08/10/2019,,2790.5,418.58,0.0
F29624,1125,E,,04:45.0,24/09/2019,24/09/2019 00:00,09/10/2019,,1319.0,0.0,0.0
F29670,1586,E,2.0,28:39.0,26/09/2019,26/09/2019 00:00,26/09/2019,,144.0,0.0,0.0
F29677,1020,E,2.0,08:37.0,27/09/2019,27/09/2019 00:00,27/10/2019,,4528.6,0.0,0.0
F29713,1083,E,1.0,14:59.0,30/09/2019,30/09/2019 00:00,30/09/2019,,4070.5517,0.0,0.0
F29719,1703,E,1.0,33:33.0,30/09/2019,30/09/2019 00:00,30/10/2019,,50994.0,0.0,0.0
F29737,1965,E,2.0,57:08.0,02/10/2019,02/10/2019 00:00,17/10/2019,,976.5,146.48,0.0
F29757,1083,E,3.0,50:19.0,03/10/2019,04/10/2019 00:00,03/10/2019,,4070.55,0.0,0.0
F29764,1429,C,4.0,02:51.0,03/10/2019,03/10/2019 00:00,02/11/2019,04/10/2019,1490.0,0.0,0.0
F29769,1965,E,2.0,51:20.0,03/10/2019,03/10/2019 00:00,18/10/2019,,6516.0,977.4,0.0
F29780,1429,E,4.0,06:37.0,04/10/2019,04/10/2019 00:00,03/11/2019,,1490.0,0.0,0.0
F29784,1053,E,3.0,02:02.0,04/10/2019,26/09/2019 00:00,03/11/2019,,8686.41,0.0,0.0
F29802,1159,C,,23:06.0,04/10/2019,04/10/2019 00:00,03/11/2019,04/10/2019,675.0,0.0,0.0
F29803,1159,E,3.0,25:02.0,04/10/2019,03/10/2019 00:00,03/11/2019,,2430.0,0.0,0.0
F29804,1159,E,3.0,29:15.0,04/10/2019,04/10/2019 00:00,03/11/2019,,675.0,0.0,0.0
F29827,1852,C,2.0,29:07.0,08/10/2019,08/10/2019 00:00,23/10/2019,08/10/2019,659.8,0.0,0.0
F29833,1852,E,2.0,36:30.0,08/10/2019,08/10/2019 00:00,23/10/2019,,659.7987,0.0,0.0
