CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F29414,2465,C,1.0,58:42.0,03/09/2019,03/09/2019 00:00,18/09/2019,04/09/2019,3980.0,0.0,0.0
F29415,3926,C,1.0,55:14.0,03/09/2019,03/09/2019 00:00,03/10/2019,03/09/2019,1550.0,0.0,0.0
F29416,3926,C,1.0,25:33.0,03/09/2019,03/09/2019 00:00,03/10/2019,03/09/2019,1550.0,0.0,0.0
F29417,3926,C,1.0,33:23.0,03/09/2019,03/09/2019 00:00,03/10/2019,17/09/2019,1550.0,0.0,0.0
F29418,6813,C,2.0,23:45.0,03/09/2019,03/09/2019 00:00,03/09/2019,10/09/2019,2435.44,0.0,0.0
F29419,2465,E,1.0,15:12.0,04/09/2019,04/09/2019 00:00,19/09/2019,,3979.998,0.0,0.0
F29420,6828,C,2.0,53:53.0,04/09/2019,04/09/2019 00:00,04/09/2019,04/09/2019,402.59,0.0,0.0
F29421,6828,E,2.0,56:44.0,04/09/2019,04/09/2019 00:00,04/09/2019,,402.59,0.0,0.0
F29422,5926,C,2.0,14:44.0,04/09/2019,02/09/2019 00:00,04/09/2019,04/09/2019,1606.74,0.0,0.0
F29423,5926,C,2.0,23:05.0,04/09/2019,02/09/2019 00:00,04/09/2019,04/09/2019,1144.43,0.0,0.0
F29424,5926,E,2.0,36:15.0,04/09/2019,03/09/2019 00:00,04/09/2019,,462.31,0.0,0.0
F29425,5926,E,2.0,03:04.0,04/09/2019,02/09/2019 00:00,04/09/2019,,1144.43,0.0,0.0
F29426,6829,C,2.0,19:19.0,04/09/2019,04/09/2019 00:00,04/09/2019,11/09/2019,157.758,0.0,0.0
F29427,6829,E,2.0,44:13.0,04/09/2019,04/09/2019 00:00,04/09/2019,,157.758,0.0,0.0
F29428,3686,C,2.0,42:39.0,04/09/2019,04/09/2019 00:00,19/09/2019,11/09/2019,1724.137,0.0,0.0
F29429,6830,E,2.0,59:46.0,04/09/2019,04/09/2019 00:00,04/09/2019,,1415.5172,0.0,0.0
F29430,2465,E,1.0,39:29.0,05/09/2019,05/09/2019 00:00,20/09/2019,,1989.999,0.0,0.0
F29431,5953,C,2.0,09:49.0,05/09/2019,05/09/2019 00:00,05/09/2019,11/09/2019,258.66,0.0,0.0
F29432,1965,C,2.0,05:04.0,05/09/2019,05/09/2019 00:00,20/09/2019,06/09/2019,976.5,0.0,0.0
F29433,6016,C,2.0,54:36.0,05/09/2019,05/09/2019 00:00,05/09/2019,11/09/2019,280.0,0.0,0.0
F29434,5928,C,2.0,18:27.0,06/09/2019,06/09/2019 00:00,21/09/2019,06/09/2019,224.637,0.0,0.0
F29435,43,E,1.0,06:14.0,06/09/2019,06/09/2019 00:00,06/10/2019,,1196.6,0.0,0.0
F29436,1965,C,2.0,01:36.0,06/09/2019,06/09/2019 00:00,21/09/2019,12/09/2019,976.5,0.0,0.0
F29437,5926,E,2.0,51:40.0,06/09/2019,06/09/2019 00:00,06/09/2019,,224.64,0.0,0.0
F29438,5928,E,2.0,57:54.0,06/09/2019,06/09/2019 00:00,21/09/2019,,1282.327,0.0,0.0
