CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F37493,4598,E,1.0,56:02.5,28/02/2022,2022-02-28,30/03/2022,,44259.0,0.0,0.0
F37494,1943,C,2.0,34:00.4,28/02/2022,2022-02-28,28/02/2022,28/02/2022,89.68,0.0,0.0
F37497,1943,C,2.0,05:42.4,28/02/2022,2022-02-28,28/02/2022,28/02/2022,89.68,0.0,0.0
F37499,8573,E,2.0,25:29.8,28/02/2022,2022-02-28,28/02/2022,,997.54,0.0,0.0
F37500,8249,E,2.0,32:46.7,28/02/2022,2022-02-28,28/02/2022,,2508.7,0.0,0.0
F37506,1757,E,2.0,23:45.4,28/02/2022,2022-02-28,28/02/2022,,2586.21,0.0,0.0
F37507,3108,E,2.0,52:43.4,28/02/2022,2022-02-28,28/02/2022,,675.4,0.0,0.0
F37508,6232,E,2.0,46:56.9,28/02/2022,2022-02-28,28/02/2022,,941.3965,0.0,0.0
F37511,8593,E,2.0,20:58.0,28/02/2022,2022-02-28,28/02/2022,,218.97,0.0,0.0
F37512,4766,E,2.0,54:16.3,28/02/2022,2022-02-28,28/02/2022,,9450.0,0.0,0.0
F37516,6179,E,3.0,33:54.4,28/02/2022,2022-02-28,28/02/2022,,5951.7,0.0,0.0
F37519,5150,E,3.0,09:39.2,28/02/2022,2022-02-28,28/02/2022,,2040.0,0.0,0.0
F37520,4527,E,2.0,14:57.5,28/02/2022,2022-02-28,28/02/2022,,4315.0,0.0,0.0
F37523,5926,E,2.0,36:54.4,28/02/2022,2022-02-28,28/02/2022,,451.61,0.0,0.0
F37549,3016,E,1.0,08:49.7,04/03/2022,2022-02-28,04/03/2022,,1083.72,0.0,0.0
F37564,4695,E,1.0,15:20.5,08/03/2022,2022-02-28,07/05/2022,,5515.0,0.0,0.0
F37620,8316,E,3.0,00:43.2,14/03/2022,2022-02-28,14/03/2022,,24570.3,0.0,0.0
